title,tmdbId,rating,runtime,release_year
Psycho,539,4.062511562511563,109,1960
One Hundred and One Dalmatians,12230,3.4443883730318947,82,1961
The Jungle Book,9325,3.6562060114266797,78,1967
Mary Poppins,433,3.728345567476005,139,1964
Breakfast at Tiffany's,164,3.8158850866075196,115,1961
The Birds,571,3.7365692742695575,119,1963
The Sword in the Stone,9078,3.5584919472913614,79,1963
Rosemary's Baby,805,3.8041627689429385,138,1968
Planet of the Apes,871,3.6233732931598186,112,1968
The Graduate,37247,4.02108069357946,106,1967
The Sound of Music,15121,3.80703012912482,174,1965
To Kill a Mockingbird,595,4.134468991216397,129,1962
The Great Escape,5925,4.096466671710678,173,1963
Night of the Living Dead,10331,3.6619168249947225,96,1968
The Apartment,284,4.028897558156335,125,1960
Butch Cassidy and the Sundance Kid,642,4.0419343833513395,111,1969
Spartacus,967,3.8267860102768108,197,1960
Easy Rider,624,3.6868663235064743,95,1969
West Side Story,1725,3.7427392234790577,151,1961
The Magnificent Seven,966,3.8983696802879524,127,1960
Bonnie and Clyde,475,3.8675777568331764,111,1967
Cool Hand Luke,903,4.088519233625424,127,1967
Charade,4808,4.034199726402189,113,1963
Midnight Cowboy,3116,3.9763077332623453,113,1969
My Fair Lady,11113,3.8946465649544084,170,1964
The Wild Bunch,576,3.946391213389122,145,1969
Marnie,506,3.506093189964157,130,1964
The Man Who Shot Liberty Valance,11697,3.9548453608247427,123,1962
Bullitt,916,3.7250335871025526,113,1968
What Ever Happened to Baby Jane?,10242,3.789847448711204,135,1962
In the Heat of the Night,10633,4.034569983136594,109,1967
The Pink Panther,936,3.689643799472295,115,1963
The Hustler,990,4.066539923954372,134,1961
The Longest Day,9289,3.9007436146136434,178,1962
Batman,2661,3.2149712092130516,105,1966
Guess Who's Coming to Dinner,1879,3.837093563370936,108,1967
The Time Machine,2134,3.6995297805642644,103,1960
Who's Afraid of Virginia Woolf?,396,4.0287557108304215,131,1966
True Grit,17529,3.6404285048905454,128,1969
The Party,10794,3.734082397003745,99,1968
Take the Money and Run,11485,3.90139480821387,85,1969
Judgment at Nuremberg,821,3.9716834755624513,179,1961
Hang 'em High,4929,3.6396588486140726,114,1968
The Producers,30197,3.886357223476298,88,1968
The Manchurian Candidate,982,4.089948145193457,126,1962
Barefoot in the Park,17887,3.5685028248587565,106,1967
How to Steal a Million,3001,3.8998054474708175,123,1966
The Love Bug,14136,3.0826231937754724,107,1968
Cape Fear,11349,3.784647485174611,105,1962
Torn Curtain,5780,3.318577648766328,127,1966
The Odd Couple,11356,3.8939660222612775,106,1968
"It's a Mad, Mad, Mad, Mad World",11576,3.5215749730312838,197,1963
Wait Until Dark,11206,3.9246004169562196,108,1967
El Dorado,6644,3.6601307189542487,126,1966
The Thomas Crown Affair,912,3.533613445378151,102,1968
Carnival of Souls,16093,3.478865406006674,78,1962
Fantastic Voyage,2161,3.4870950027457446,100,1966
How the West Was Won,11897,3.361111111111111,162,1962
The Nutty Professor,18331,2.849458728010826,107,1963
Inherit the Wind,1908,4.052690582959642,128,1960
Funny Girl,16085,3.5476190476190474,155,1968
Irma la Douce,2690,3.5698847262247835,147,1963
The Little Shop of Horrors,24452,3.22342875946035,72,1960
Topaz,2370,3.0528089887640446,127,1969
The Parent Trap,19186,3.4350377200335296,129,1961
Fail Safe,502,3.9369863013698625,112,1964
Point Blank,26039,3.6606170598911074,92,1967
"One, Two, Three",430,3.854602510460251,115,1961
The Misfits,11536,3.5866141732283463,124,1961
"Hello, Dolly!",14030,3.38003663003663,149,1969
In Cold Blood,18900,3.9039162112932604,134,1967
The Alamo,11209,3.3069016152716593,167,1960
Seconds,20620,3.806451612903226,107,1966
The Children's Hour,20139,3.675,108,1961
Ocean's Eleven,299,3.5223048327137545,127,1960
Coogan's Bluff,26170,3.2789203084832907,93,1968
The Pit and the Pendulum,28501,3.4012820512820516,81,1961
The Great Race,11575,3.46934396076027,160,1965
"Faster, Pussycat! Kill! Kill!",315,3.427835051546392,84,1965
The Flight of the Phoenix,10243,3.7220708446866486,142,1965
Swiss Family Robinson,18444,3.5147016842706247,126,1960
"They Shoot Horses, Don't They?",28145,3.6896407685881365,120,1969
The Fortune Cookie,1888,3.578723404255319,125,1966
The Miracle Worker,1162,3.8610436893203888,106,1962
Hud,24748,3.9549970777323207,112,1963
Mutiny on the Bounty,11085,3.5768194070080863,185,1962
House of Usher,23439,3.362204724409449,79,1960
The Professionals,22383,3.5504032258064515,117,1966
Birdman of Alcatraz,898,3.7326951399116353,147,1962
The Cincinnati Kid,886,3.615523465703971,102,1965
The Chase,31602,3.350467289719626,135,1966
The Sons of Katie Elder,16211,3.492063492063492,122,1965
Splendor in the Grass,28569,3.7506297229219143,124,1961
Shock Corridor,25504,3.460820895522388,102,1963
Battle of the Bulge,13524,3.417197452229299,167,1965
"Hush... Hush, Sweet Charlotte",10299,3.5760869565217392,133,1964
The Sand Pebbles,5923,3.6986027944111775,182,1966
Cat Ballou,11694,3.5660714285714286,97,1965
Paint Your Wagon,20391,3.185990338164251,164,1969
Hatari!,11385,3.532345013477089,157,1962
The Raven,29056,3.2062737642585555,86,1963
McLintock!,15263,3.6382978723404253,127,1963
The Swimmer,33564,3.5901960784313727,95,1968
The Boston Strangler,26690,3.3066666666666666,116,1968
Cactus Flower,28289,3.4654471544715446,103,1969
Ride the High Country,36206,3.5656934306569346,94,1962
X: The Man with the X-Ray Eyes,32569,3.2334494773519165,79,1963
Hombre,27945,3.6462585034013606,111,1967
Von Ryan's Express,21876,3.6036161335187757,117,1965
One-Eyed Jacks,18647,3.283653846153846,141,1961
Manos: The Hands of Fate,22293,1.7124183006535947,70,1966
King of Kings,36362,3.1306818181818183,168,1961
Seven Days in May,23518,3.9906219151036524,118,1964
Targets,19383,3.559071729957806,90,1968
The Comancheros,30462,3.394160583941606,105,1961
Faces,753,3.7610441767068274,130,1968
"Kiss Me, Stupid",53021,3.1987951807228914,125,1964
Exodus,1941,3.608139534883721,208,1960
The Fall of the Roman Empire,17277,3.34375,188,1964
The War Wagon,27277,3.346153846153846,101,1967
Topkapi,5052,3.643037974683544,119,1964
Days of Wine and Roses,32488,3.8805436337625183,117,1963
Pollyanna,31102,3.377358490566037,134,1960
Who's That Knocking at My Door,42694,3.25,90,1967
The Unforgiven,6643,3.858686616791355,125,1960
Paris When It Sizzles,22829,3.0544871794871797,110,1964
The Greatest Story Ever Told,2428,3.2462406015037595,199,1965
Grand Prix,20379,3.3333333333333335,176,1966
Blood Feast,28172,2.8025641025641024,67,1963
Support Your Local Sheriff!,11574,3.65625,92,1969
The Music Man,13671,3.750259067357514,151,1962
Doctor Dolittle,16081,3.0364630811303557,152,1967
Mackenna's Gold,18118,3.1275510204081636,128,1969
The Absent-Minded Professor,17984,3.3726469458317325,96,1961
The Killers,24229,3.3388429752066116,93,1964
Father Goose,30295,3.770014556040757,118,1964
Tales of Terror,29074,3.1923076923076925,89,1962
The Naked Kiss,26031,3.588957055214724,93,1964
The Green Berets,22377,2.786231884057971,142,1968
Pocketful of Miracles,248,3.387931034482759,136,1961
That Darn Cat!,20723,3.089411764705882,112,1965
The Ugly Dachshund,20277,3.1808510638297873,93,1966
Harper,26268,3.3181818181818183,121,1966
Nevada Smith,5921,3.2184466019417477,128,1966
That Touch of Mink,12708,3.619252873563218,99,1962
Let's Make Love,24014,3.0095238095238095,119,1960
Hell in the Pacific,31681,3.475336322869955,103,1968
A Boy Named Charlie Brown,15374,3.639455782312925,86,1969
Ice Station Zebra,17657,3.1964285714285716,148,1968
Arabesque,23030,3.2982456140350878,105,1966
55 Days at Peking,27759,3.2540983606557377,154,1963
The Haunted Palace,30137,3.1911764705882355,87,1963
Lilies of the Field,38805,3.925601750547046,94,1963
Major Dundee,29715,3.185185185185185,125,1965
Elmer Gantry,22013,3.871125611745514,146,1960
The Bridge at Remagen,15873,3.445983379501385,117,1969
Bob Dylan - Dont Look Back,135,3.8397260273972598,96,1967
Spider Baby,28504,3.2530864197530867,81,1967
Blackbeard's Ghost,16249,3.1470588235294117,106,1968
The Valley of Gwangi,42329,2.230769230769231,96,1969
The Pawnbroker,20540,3.9866385372714483,116,1964
The Night of the Iguana,14703,3.7450657894736836,118,1964
Lover Come Back,40894,3.644736842105263,107,1961
In Harm's Way,37921,3.5185185185185186,165,1965
Lonely Are the Brave,43002,3.8199152542372885,107,1962
13 Ghosts,29756,2.853566958698373,85,1960
Gambit,28270,3.54,109,1966
Shenandoah,21027,3.663430420711974,105,1965
"Yours, Mine and Ours",27983,3.4340909090909095,111,1968
Robinson Crusoe on Mars,7348,2.9932885906040267,110,1964
Donovan's Reef,15875,3.446308724832215,109,1963
The Terror,31655,2.3684210526315788,79,1963
The Comedy of Terrors,29486,3.095505617977528,84,1964
Star!,52959,3.107142857142857,176,1968
Viva Las Vegas,2098,3.0285714285714285,85,1964
The Computer Wore Tennis Shoes,29228,2.8900836320191154,91,1969
Reflections in a Golden Eye,3547,3.2058823529411766,108,1967
Blue Hawaii,18228,2.7204301075268815,102,1961
The 300 Spartans,19972,3.3576642335766422,114,1962
Cheyenne Autumn,40630,3.06,154,1964
Two Rode Together,32634,3.242424242424242,109,1961
Voyage to the Bottom of the Sea,2160,3.266156462585034,105,1961
A Raisin in the Sun,29478,3.868798235942668,128,1961
The Brain That Wouldn't Die,33468,2.389502762430939,82,1962
Santa Claus Conquers the Martians,32307,1.9509803921568627,81,1964
Experiment in Terror,42995,3.457894736842105,123,1962
Send Me No Flowers,4939,3.6220095693779903,100,1964
The Premature Burial,29235,3.1744186046511627,81,1962
The Ladies Man,28333,3.1467391304347827,95,1961
Man's Favorite Sport?,39231,3.459302325581395,120,1964
How to Murder Your Wife,26685,3.375690607734806,118,1965
The Undefeated,18972,3.2066666666666666,119,1969
Sergeant Rutledge,43040,3.4814814814814814,111,1960
Bandolero!,41857,2.945652173913044,106,1968
Midnight Lace,12617,3.4375,108,1960
Titicut Follies,41212,3.54,84,1967
Valley of the Dolls,3055,3.0390625,123,1967
Cinderfella,18973,2.7091836734693877,91,1960
Strait-Jacket,29396,3.2346938775510203,93,1964
Two Thousand Maniacs!,28177,2.856617647058824,87,1964
The Shooting,42701,3.2443181818181817,78,1966
Sweet Bird of Youth,33632,3.3967391304347823,120,1962
The Endless Summer,21,3.79539641943734,91,1966
Hell Is for Heroes,32041,3.36231884057971,90,1962
The Russians Are Coming! The Russians Are Coming!,31918,3.5397526501766783,126,1966
Dead Ringer,22543,3.3492063492063493,115,1964
The St. Valentine's Day Massacre,42702,3.3125,100,1967
Our Man Flint,23728,3.307,108,1966
North to Alaska,6523,3.345394736842105,122,1960
Mirage,19661,3.4204545454545454,108,1965
Charly,29146,3.646280991735537,103,1968
Comanche Station,1673,3.316666666666667,73,1960
Bye Bye Birdie,25167,3.2364341085271318,112,1963
The Fugitive Kind,47837,3.3728813559322033,119,1960
The Scalphunters,32068,3.2954545454545454,102,1968
The Bellboy,15788,2.9904761904761905,72,1960
Advise & Consent,17185,3.7772727272727273,139,1962
A Patch of Blue,33364,3.8339350180505414,105,1965
The Ghost & Mr. Chicken,13343,3.2532751091703056,90,1966
Panic in Year Zero!,27568,3.1875,93,1962
Bob & Carol & Ted & Alice,26520,3.1975,101,1969
Greetings,73604,2.609375,88,1968
Duel at Diablo,1403,3.0510204081632653,104,1966
Marooned,40140,2.985981308411215,134,1969
The Lost World,2982,2.759259259259259,97,1960
The Trip,22694,3.263888888888889,85,1967
Will Penny,1676,2.982142857142857,110,1967
This Property Is Condemned,65012,3.2903225806451615,110,1966
The Prize,4025,3.3555555555555556,134,1963
Thoroughly Modern Millie,32489,3.332191780821918,138,1967
100 Rifles,37308,2.761904761904762,110,1969
7 Faces of Dr. Lao,14241,3.466666666666667,100,1964
Monterey Pop,42632,3.945427728613569,80,1968
Flaming Star,18639,2.984375,92,1960
The Incredible Mr. Limpet,19953,3.111111111111111,99,1964
Who's Minding the Store?,42305,3.425,90,1963
Salesman,27375,3.8618677042801557,90,1969
Ship of Fools,30080,3.4801587301587302,149,1965
"Boeing, Boeing",38655,3.075,102,1965
Ride in the Whirlwind,60555,3.2125,82,1966
Downhill Racer,33166,3.407142857142857,101,1969
Butterfield 8,23724,3.0867768595041323,109,1960
Hour of the Gun,31658,3.1944444444444446,100,1967
Night Tide,38775,3.141025641025641,84,1961
Pretty Poison,32969,3.2096774193548385,89,1968
Wild River,82311,3.4791666666666665,110,1960
Babes in Toyland,32611,2.955417066155321,106,1961
Blast of Silence,32008,3.449275362318841,77,1961
Guns of the Magnificent Seven,12625,3.2698412698412698,105,1969
Head,18193,3.3956521739130436,86,1968
The Intruder,79827,3.5952380952380953,84,1962
Mr. Hobbs Takes a Vacation,41521,3.51171875,116,1962
"Move Over, Darling",30204,3.186046511627907,103,1963
Underworld U.S.A.,28699,3.3636363636363638,99,1961
Fun in Acapulco,18692,2.709090909090909,97,1963
The Way West,42703,2.5625,122,1967
The Disorderly Orderly,35188,3.007142857142857,89,1964
Homicidal,29394,2.9901960784313726,87,1961
In Like Flint,24130,3.311197916666667,114,1967
The List of Adrian Messenger,11605,3.4242424242424243,99,1963
The Hallelujah Trail,23194,2.909090909090909,165,1965
Hellfighters,32726,3.269230769230769,121,1968
The Last Sunset,46757,3.2,112,1961
Vixen!,5721,2.7,71,1968
It Started in Naples,38151,2.7777777777777777,100,1960
Come September,22386,3.1956521739130435,112,1961
Marlowe,1846,2.8548387096774195,95,1969
Twice-Told Tales,47553,3.2419354838709675,120,1963
King Rat,29586,3.6739130434782608,134,1965
Madigan,4931,2.6964285714285716,101,1968
5 Card Stud,4993,3.015151515151515,103,1968
What a Way to Go!,23574,3.4130434782608696,111,1964
In Search of the Castaways,34774,3.401041666666667,98,1962
The Devil's Brigade,31938,3.4465116279069767,130,1968
Lady in a Cage,42787,3.106382978723404,94,1964
Sweet Charity,42618,3.23,149,1969
Sex and the Single Girl,26817,3.1136363636363638,110,1964
The Time Travelers,49160,2.4464285714285716,82,1964
The Shoes of the Fisherman,17665,3.242424242424242,162,1968
Medium Cool,42612,3.571875,111,1969
The War Lord,42664,3.4347826086956523,123,1965
G.I. Blues,18642,2.7195767195767195,104,1960
The Incident,66043,3.717391304347826,99,1967
Please Don't Eat the Daisies,19414,3.3376623376623376,112,1960
The Thrill of It All,22233,3.5851063829787235,108,1963
The Stalking Moon,42685,2.6666666666666665,109,1968
A Big Hand for the Little Lady,37301,3.6818181818181817,95,1966
Camelot,18978,3.5400000000000005,179,1967
Freud: The Secret Passion,35806,3.609375,140,1962
Robin and the 7 Hoods,17696,3.024193548387097,123,1964
Master of the World,72693,2.8,102,1961
Gypsy,39391,3.6033274956217163,149,1962
The Americanization of Emily,42791,3.595808383233533,115,1964
Morituri,42737,3.4239130434782608,123,1965
Lilith,60437,3.212121212121212,114,1964
The Rare Breed,38800,2.9642857142857144,97,1966
Mr. Sardonicus,29402,3.0634920634920637,90,1961
Tell Them Willie Boy Is Here,42619,3.09375,98,1969
Firecreek,4934,3.0555555555555554,104,1968
Walk Don't Run,38720,3.241573033707865,114,1966
Long Day's Journey Into Night,43004,3.7696969696969695,174,1962
Castle Keep,45522,2.7727272727272725,105,1969
The Illustrated Man,25874,2.768292682926829,103,1969
