title,tmdbId,rating,runtime,release_year
The Avengers,24428,3.7335740072202164,143,2012
Deadpool,293660,3.8502829740355136,108,2016
Avengers: Infinity War,299536,3.8967224308637767,149,2018
Guardians of the Galaxy,118340,3.9101842761120755,121,2014
Django Unchained,68718,4.026370814218393,165,2012
Avengers: Endgame,299534,3.8705444077554825,181,2019
Shutter Island,11324,3.993126202914488,138,2010
The Wolf of Wall Street,106646,3.934272737426007,180,2013
Avengers: Age of Ultron,99861,3.4871063724274713,141,2015
Captain America: Civil War,271110,3.6957352005092283,147,2016
The Dark Knight Rises,49026,3.963564819388192,165,2012
Iron Man 3,68721,3.462624911480053,130,2013
Black Panther,284054,3.618543271409153,135,2018
Doctor Strange,284052,3.750564334085778,115,2016
The Hunger Games,70160,3.511272458774305,142,2012
Guardians of the Galaxy Vol. 2,283995,3.8126191383911547,137,2017
Captain America: The First Avenger,1771,3.472747617672538,124,2011
Suicide Squad,297761,2.6402071563088514,123,2016
Thor,10195,3.3155091311566114,115,2011
Iron Man 2,10138,3.4225100883092594,124,2010
Thor: Ragnarok,284053,3.878631642330272,131,2017
Inside Out,150540,3.909975329330169,95,2015
Jurassic World,135397,3.267743764172334,124,2015
Wonder Woman,297762,3.540142671854733,141,2017
Ant-Man,102899,3.542189712128363,117,2015
Star Wars: The Force Awakens,140607,3.6176109360815953,136,2015
Logan,263115,3.9060265577119497,137,2017
It,346364,3.5061691542288553,135,2017
John Wick,245891,3.846380697050939,101,2014
Coco,354912,4.018624195891264,105,2017
Captain America: The Winter Soldier,100402,3.685032537960955,136,2014
Gone Girl,210577,3.9535466269841266,149,2014
Thor: The Dark World,76338,3.1856432642172914,112,2013
The Amazing Spider-Man,1930,3.2349423787779954,136,2012
Split,381288,3.6046226580283665,117,2017
Deadpool 2,383498,3.7828833418237386,120,2018
The Hunger Games: Catching Fire,101299,3.4972417797778896,146,2013
Get Out,419430,3.991137939892115,104,2017
La La Land,313369,3.72949799474485,129,2016
Frozen,109445,3.4398306611421354,102,2013
Zootopia,269149,3.850460813526434,109,2016
Beauty and the Beast,321612,3.381023102310231,129,2017
Big Hero 6,177572,3.85876913265306,102,2014
Now You See Me,75656,3.614037519637742,116,2013
Captain Marvel,299537,3.250838926174497,124,2019
Spider-Man: Far From Home,429617,3.6851851851851856,129,2019
X-Men: Days of Future Past,127585,3.692837046612425,132,2014
Ready Player One,333339,3.533495226930162,140,2018
Rogue One: A Star Wars Story,330459,3.755853911931592,133,2016
Star Wars: The Last Jedi,181808,3.2615106831176655,152,2017
Despicable Me,20352,3.653331918505943,95,2010
Spider-Man: Into the Spider-Verse,324857,4.1852597278129196,117,2018
Whiplash,244786,4.154746624223442,107,2014
Toy Story 3,10193,3.8276430363555853,103,2010
Black Swan,44214,3.7956812366181,108,2010
Her,152601,3.9014903565166548,126,2013
The Hateful Eight,273248,3.8829385964912273,188,2015
Alice in Wonderland,12155,3.046728473998295,108,2010
A Quiet Place,447332,3.697097081218274,91,2018
Aquaman,297802,3.1117307692307703,143,2018
Edge of Tomorrow,137113,3.9581983805668024,114,2014
Jumanji: Welcome to the Jungle,353486,3.5158786167960496,119,2017
Brave,62177,3.487319974953036,93,2012
Ant-Man and the Wasp,363088,3.4634540750323413,119,2018
Maleficent,102651,3.3461168781237967,97,2014
Passengers,274870,3.511964947758679,116,2016
The Amazing Spider-Man 2,102382,3.012546468401486,141,2014
X-Men: Apocalypse,246655,3.1713500950771185,144,2016
Birdman or (The Unexpected Virtue of Ignorance),194662,3.7285232516861884,120,2014
Divergent,157350,3.2063235043463445,139,2014
American Sniper,190859,3.467771359075708,133,2014
How to Train Your Dragon,10191,3.8997368682355287,98,2010
Incredibles 2,260513,3.648183404727907,118,2018
John Wick: Chapter 2,324552,3.8129884894131028,122,2017
X-Men: First Class,49538,3.6911028790537483,132,2011
Drive,64690,3.849235708801563,100,2011
