tmdbId,genres
24428,"Science Fiction, Action, Adventure"
293660,"Action, Adventure, Comedy"
299536,"Adventure, Action, Science Fiction"
550,Drama
118340,"Action, Science Fiction, Adventure"
680,"Thriller, Crime"
13,"Comedy, Drama, Romance"
1726,"Action, Science Fiction, Adventure"
68718,"Drama, Western"
278,"Drama, Crime"
299534,"Adventure, Science Fiction, Action"
603,"Action, Science Fiction"
597,"Drama, Romance"
11324,"Drama, Thriller, Mystery"
106646,"Crime, Drama, Comedy"
99861,"Action, Adventure, Science Fiction"
271110,"Adventure, Action, Science Fiction"
49026,"Action, Crime, Drama, Thriller"
68721,"Action, Adventure, Science Fiction"
284054,"Action, Adventure, Science Fiction"
284052,"Action, Adventure, Fantasy"
70160,"Science Fiction, Adventure, Fantasy"
315635,"Action, Adventure, Science Fiction, Drama"
283995,"Science Fiction, Adventure, Action"
1771,"Action, Adventure, Science Fiction"
297761,"Action, Adventure, Fantasy"
10195,"Adventure, Fantasy, Action"
10138,"Adventure, Action, Science Fiction"
284053,"Action, Adventure, Science Fiction"
150540,"Animation, Family, Adventure, Drama, Comedy"
135397,"Action, Adventure, Science Fiction, Thriller"
807,"Crime, Mystery, Thriller"
22,"Adventure, Fantasy, Action"
11,"Adventure, Action, Science Fiction"
297762,"Action, Adventure, Fantasy"
14160,"Animation, Comedy, Family, Adventure"
102899,"Science Fiction, Action, Adventure"
238,"Drama, Crime"
105,"Adventure, Comedy, Science Fiction"
140607,"Adventure, Action, Science Fiction"
634649,"Action, Adventure, Science Fiction"
263115,"Action, Drama, Science Fiction"
12,"Animation, Family"
346364,"Horror, Fantasy"
245891,"Action, Thriller"
354912,"Family, Animation, Fantasy, Music, Comedy, Adventure"
100402,"Action, Adventure, Science Fiction"
557,"Fantasy, Action"
10681,"Animation, Family, Science Fiction"
210577,"Mystery, Thriller, Drama"
585,"Animation, Comedy, Family"
862,"Animation, Adventure, Family, Comedy"
8587,"Family, Animation, Drama"
37165,"Comedy, Drama"
9806,"Action, Adventure, Animation, Family"
76338,"Action, Adventure, Fantasy"
1930,"Action, Adventure, Fantasy"
381288,"Horror, Thriller"
383498,"Action, Comedy, Adventure"
24,"Action, Crime"
101299,"Adventure, Action, Science Fiction"
419430,"Mystery, Thriller, Horror"
497,"Fantasy, Drama, Crime"
1891,"Adventure, Action, Science Fiction"
808,"Animation, Comedy, Fantasy, Adventure, Family"
2062,"Animation, Comedy, Family, Fantasy"
313369,"Comedy, Drama, Romance, Music"
109445,"Animation, Family, Adventure, Fantasy"
269149,"Animation, Adventure, Family, Comedy"
329,"Adventure, Science Fiction"
274,"Crime, Drama, Thriller"
321612,"Family, Fantasy, Romance"
58,"Adventure, Fantasy, Action"
177572,"Adventure, Family, Animation, Action, Comedy"
75656,"Thriller, Crime"
6479,"Drama, Science Fiction, Thriller"
857,"Drama, History, War"
299537,"Action, Adventure, Science Fiction"
424,"Drama, History, War"
1892,"Adventure, Action, Science Fiction"
429617,"Action, Adventure, Science Fiction"
127585,"Action, Adventure, Science Fiction"
333339,"Adventure, Action, Science Fiction"
640,"Drama, Crime"
330459,"Action, Adventure, Science Fiction"
181808,"Adventure, Action, Science Fiction"
20352,"Family, Animation, Comedy"
558,"Action, Adventure, Fantasy"
324857,"Action, Adventure, Animation, Science Fiction"
244786,"Drama, Music"
10193,"Animation, Family, Comedy"
77,"Mystery, Thriller"
38,"Science Fiction, Drama, Romance"
44214,"Drama, Thriller, Horror"
1893,"Adventure, Action, Science Fiction"
152601,"Romance, Science Fiction, Drama"
285,"Adventure, Fantasy, Action"
500,"Crime, Thriller"
273248,"Drama, Mystery, Western"
12155,"Family, Fantasy, Adventure"
559,"Fantasy, Action, Adventure"
447332,"Horror, Drama, Science Fiction"
297802,"Action, Adventure, Fantasy"
393,"Action, Crime, Thriller"
920,"Animation, Adventure, Comedy, Family"
863,"Animation, Comedy, Family"
607,"Action, Adventure, Comedy, Science Fiction"
137113,"Action, Science Fiction"
353486,"Adventure, Action, Comedy, Fantasy"
1895,"Adventure, Action, Science Fiction"
8966,"Fantasy, Drama, Romance"
62177,"Animation, Adventure, Comedy, Family, Action, Fantasy"
363088,"Action, Adventure, Science Fiction"
102651,"Fantasy, Adventure, Action, Family, Romance"
274870,"Drama, Romance, Science Fiction"
102382,"Action, Adventure, Fantasy"
425,"Animation, Comedy, Family, Adventure"
1894,"Adventure, Action, Science Fiction"
246655,"Action, Adventure, Science Fiction, Fantasy"
194662,"Drama, Comedy"
157350,"Action, Adventure, Science Fiction"
190859,"War, Action"
10191,"Fantasy, Adventure, Animation, Family"
260513,"Action, Adventure, Animation, Family"
162,"Fantasy, Drama, Romance"
324552,"Action, Thriller, Crime"
49538,"Action, Science Fiction, Adventure"
4922,"Drama, Fantasy, Romance"
165,"Adventure, Comedy, Science Fiction"
769,"Drama, Crime"
64690,"Drama, Thriller, Crime"
68726,"Action, Science Fiction, Adventure"
82690,"Family, Animation, Comedy, Adventure"
141,"Fantasy, Drama, Mystery"
72105,"Comedy, Fantasy"
