last_name,first_name,full_name,aka,dob,dod,films_appeared,films_directed,films_produced,films_camerawork
Abbott,Robert,Robert Abbott,,,,The Millionaire,,,
Abbott,Mrs. Robert,Mrs. Robert Abbott,,,,The Millionaire,,,
Abrahams,Edward R.,Edward R. Abrahams,,,,The Sport of the Gods,,,
Abrams,Ed,Ed Abrams,Dick Abrams,,,The Gunsaulus Mystery,,,
Agusta,Howard,Howard Agusta,,,,"Smiling Hate,Children of Fate",,,
Alexander,Chester A.,Chester A. Alexander,,,,Body and Soul,,,
Alger,Paul K.,Paul K. Alger,,,,,,,
Allen,Anna Lou,Anna Lou Allen,,,,Hearts of the Woods,,,
Allen,Eleanora,Eleanora Allen,,,,,,,
Amos,Tom,Tom Amos,,,,A Shot in the Night,,,
Anderson,Charles H.,Charles H. Anderson,,,,Uncle Remus' First Visit to New York,,,
Anderson,Mrs. Charles H.,Mrs. Charles H. Anderson,,,,Uncle Remus' First Visit to New York,,,
Anderson,Ida,Ida Anderson,,,,"Deceit,A Son of Satan,The Secret Sorrow,Gayety",,,
Anderson,Allegretti,Allegretti Anderson,,,,Georgia Rose,,,
Andlauer ,W.A.,W.A. Andlauer ,,5/24/1882,8/1/53,,,,As the World Rolls On
Anson,A.E,A.E Anson,,,,Arrowsmith,,,
Anthony,Emmett,Emmett Anthony,,,,A Son of Satan,,,
Armour,Jean,Jean Armour,,,,The Sport of the Gods,,,
Arnau,Brenda,Brenda Arnau,,,,,,,
Arnett,Billy,Billy Arnett,,,,The Fall of the Mighty,,,
Arnett,Grace,Grace Arnett,,,,The Fall of the Mighty,,,
Arnold,Sam,Sam Arnold,,,,The Barber,,,
Askins,Ida,Ida Askins,,,,The Colored American Winning His Suit,,,
Austin,Jack,Jack Austin,,,,The Green Eyed Monster,,,
Austin,S.A.,S.A. Austin,"Buddy Austin, Buddie Austin",,,,,,
Ayers,Benny,Benny Ayers,,,,,,,
Baker,William,William Baker,,,,The Wages of Sin,,,
Baker,Josephine,Josephine Baker,Jo Baker,,,"The Siren of the Tropics,The Count,The Revue des Revues",,,
Barker,Edwin L.,Edwin L. Barker,,,,,,,
Barr,Edna,Edna Barr,,,,Spider's Web,,,
Bates,Lester,Lester Bates,,,,By Right of Birth,,,
Bates,Leo,Leo Bates,,,,By Right of Birth,,,
Bearden,Bessye,Bessye Bearden,,,,The Gunsaulus Mystery,,,
Bell,Spencer,Spencer Bell,,,,Tenderfeet,,,
Bell,Willie,Willie Bell,,,,,,,
Bennett,Richard,Richard Bennett,,,,Arrowsmith,,,
Billings,Jesse R.,Jesse R. Billings,,,,Deceit,,,
Birdsong,Sylvia,Sylvia Birdsong,,,,"The Wages of Sin,The Witching Eyes",,,
Birdsong,Amy,Amy Birdsong,,,,Marcus Garland,,,
Bishop,Andrew S.,Andrew S. Bishop,,,,"Temptation,A Son of Satan,The House Behind the Cedars",,,
Blake,Eubie,Eubie Blake,,,,Sissle and Blake,Snappy Tunes,,
Blanton,L.D.,L.D. Blanton,,,,,,,
Bock,Leo,Leo Bock,,,,,,,Making Negro Lives Count
Boles,Lottie,Lottie Boles,,,,The Realization of a Negro's Ambition,,,
Bowen,Henderson,Henderson Bowen,,,,Chicago's Business Activities and Scenes along State Street/Chicago Businesses and Secret Orders,,,
Bowman,Laura,Laura Bowman,,,,The Brute,,,
Boyd,Kathryn,Kathryn Boyd,,,,"The Flying Ace,Black Gold",,,
Boyer,Elizabeth,Elizabeth Boyer,,,,"The Sport of the Gods,Shuffling Jane",,,
Bracken,Vera,Vera Bracken,,,,The Millionaire,,,
Bradford,I.D.,I.D. Bradford,,,,The Fall of the Mighty,,,
Bristol,W.E.,W.E. Bristol,,,,,,,
Brogsdale,Walter,Walter Brogsdale,,,,"Are Working Girls Safe?,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,A Reckless Rover,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,When You Are Scared Run,When You Hit Hit Hard,Wrong All Around,The Janitor,Ghosts,Good Luck in Old Clothes",,,
Brooks,Clarence,Clarence Brooks,,1/1/1895,1/1/69,"The Realization of a Negro's Ambition,A Man's Duty,Absent,Arrowsmith,The Law of Nature,Welcome Strangers,By Right of Birth,Harlem Rides The Range,Georgia Rose",,,
Brooks,Dudley A.,Dudley A. Brooks,,,,,,,
Brooks,Lucius,Lucius Brooks,,,,Harlem Rides The Range,,,
Brooks,Shelton,Shelton Brooks,,,,Gayety,,,
Brooks,Eunice,Eunice Brooks,,,,The Exile,,,
Broome,George,George Broome,,,,,A Trip to Tuskegee,A Trip to Tuskegee,
Bowser,Aubrey,Aubrey Bowser,Aubrey Brower,,,,,,
Brown,Kid,Kid Brown,,,,"The Railroad Porter,The Grafter and the Maid,The Railroad Porter",,,
Brown,George Edward,George Edward Brown,,,,"The Sport of the Gods,The Call of His People,The Secret Sorrow,Spitfire,The Schemers",,,
Brown,Lucille,Lucille Brown,,,,The Sport of the Gods,,,
Brown,J.C.,J.C. Brown,,,,,,,
Brown,J. Rufus,J. Rufus Brown,,,,,,,
Brown,Tom,Tom Brown,,,,Uncle Remus' First Visit to New York,,,
Brown,Jerry,Jerry Brown,,,,Deceit,,,
